order_id,order_date,customer_id,product_id,quantity,discount,price,total_sales,profit
1,2023-05-02,115,5,4,0.15646529517329014,1024,3455.1181509702037,1001.8662407365302
2,2023-01-01,7,27,1,0.037394228697844,3160,3041.834237314813,641.7210444413249
3,2023-08-27,80,16,4,0.2884243621270917,2482,7064.522932802234,1188.2812587704072
4,2023-10-17,144,6,3,0.19077322971292152,3450,8375.497072471262,2448.768995090046
5,2023-04-06,97,40,4,0.22976052769875946,1330,4097.6739926426,858.3859979196953
6,2023-05-06,4,13,2,0.023763945002511243,1471,2872.086473802612,324.11652268084623
7,2023-04-28,4,48,4,0.014117513838005668,1512,5962.617276307742,1362.787840069262
8,2023-02-17,103,35,3,0.005834415110424351,4965,14808.096386930229,3221.308124488693
9,2023-03-30,40,19,3,0.056638208332033334,4236,11988.24164851652,3346.620450307768
10,2023-08-25,17,12,3,0.12432251931554854,3201,8409.130847012788,1939.4603929453863
11,2023-09-29,101,16,4,0.28074784002084685,2482,7140.735444273032,1212.5717482797102
12,2023-07-08,103,43,2,0.13711789777973288,1240,2139.9476135062623,627.5292485171316
13,2023-07-11,124,10,1,0.08707653161175882,4347,3968.4783170836845,1033.0897414426622
14,2023-03-10,52,25,2,0.168580576055899,4354,7240.000343705232,1636.8447891222909
15,2023-10-05,52,20,4,0.033580373440436774,4269,16502.581543131102,2617.06256535277
16,2023-12-15,164,31,4,0.18285176730149497,1376,4497.583872772571,785.7641497840297
17,2023-09-04,124,4,1,0.170529586299151,2955,2451.085072486009,573.5391632421808
18,2023-03-17,166,44,4,0.2375979100217129,616,1878.5587497064994,214.89991423771158
19,2023-06-03,178,23,3,0.2960062834851072,1648,3480.54493444963,526.7321600529348
20,2023-05-24,63,2,3,0.07526204151483315,1037,2876.859788847354,698.4445565865885
21,2023-03-27,116,22,3,0.15289693524112818,3761,9557.86387967435,1873.376703331237
22,2023-07-04,191,37,3,0.2726596218957011,2193,4785.172347548182,863.6217465910879
23,2023-10-12,62,8,3,0.23555696532685239,4615,10583.71381504973,1378.9682076237436
24,2023-08-08,7,7,4,0.14622189093024227,4631,15815.385692408192,2979.14114885752
25,2023-03-10,155,14,1,0.2836114948844333,1666,1193.5032495225341,303.31499924890636
26,2023-02-16,92,3,1,0.017171008055042812,2341,2300.802670143145,351.568559253175
27,2023-04-04,14,50,3,0.2792995859137752,1581,3418.282064010964,345.5189543847506
28,2023-08-26,199,16,4,0.015152217714841964,2482,9777.568782527049,2285.027408744741
29,2023-07-23,86,19,2,0.1641914232344053,4236,7080.970262358119,2085.5250387088636
30,2023-08-06,133,18,2,0.2671322844003257,4646,6809.806813352174,1507.455014784941
31,2023-12-07,183,16,4,0.07881628306839085,2482,9145.511941697016,1133.9005527474164
32,2023-02-08,130,8,3,0.14167454968354756,4615,11883.515859631285,1950.63894388043
33,2023-04-10,62,33,1,0.09729866374108999,4642,4190.33960291386,1146.1765641510422
34,2023-10-16,149,49,4,0.2856431751229054,2164,6183.472676136131,905.9629341153527
35,2023-09-11,79,12,2,0.24709367842592725,3201,4820.106270717214,1067.8423940993182
36,2023-08-10,149,11,2,0.21270045339791385,4995,7865.12247055484,1419.9239207122812
37,2023-12-23,138,5,2,0.1762880959845326,1024,1686.9619794236773,238.8210890817426
38,2023-01-23,58,27,3,0.2461775367972444,3160,7146.236951162123,1877.1833749405944
39,2023-09-07,120,12,2,0.11768011245706411,3201,5648.611920049875,1404.05431257098
40,2023-01-10,167,17,4,0.13426555653181857,1353,4685.354808049798,1088.4932571759869
41,2023-09-03,133,6,4,0.21900051632425843,3450,10777.792874725234,1587.216651199604
42,2023-11-21,65,33,2,0.10732642898811427,4642,8287.581433274347,990.9577190931805
43,2023-04-10,13,5,4,0.019170282614512146,1024,4017.4785224109582,864.6893988535979
44,2023-10-17,181,28,2,0.022300382665821437,3624,7086.366826438126,1493.3495290694068
45,2023-06-29,82,14,2,0.03460884039171116,1666,3216.6833438148183,442.86331873185884
46,2023-08-11,173,5,1,0.2609043970030988,1024,756.8338974688268,84.19727072254062
47,2023-09-07,160,33,3,0.1416679277268613,4642,11953.13243847573,1388.2570122246464
48,2023-05-27,164,50,3,0.21386471080342093,1581,3728.6396766593743,1113.2010256954668
49,2023-04-06,188,48,1,0.11787280068146798,1512,1333.7763253696203,342.4027620867577
50,2023-09-14,139,41,1,0.07761328422469034,4175,3850.9645383619177,1095.2046687873296
51,2023-11-21,191,19,3,0.10415765026866358,4236,11384.364580385822,1582.551272251512
52,2023-01-04,149,22,2,0.23825470359515505,3761,5729.848119557244,1673.767176267462
53,2023-01-16,52,5,2,0.18756483750943145,1024,1663.8672127806844,213.8583009134057
54,2023-10-07,183,2,3,0.2812919339873706,1037,2235.90079336529,451.24137221245405
55,2023-12-02,117,30,2,0.2039114335730502,504,802.4572749583654,213.4047950882431
56,2023-09-04,26,47,1,0.17105448952640817,2431,2015.1665359613019,342.4990564318787
57,2023-09-15,196,39,2,0.18305880269575034,619,1011.373202262661,187.0693590286003
58,2023-06-09,34,4,2,0.2827114318405244,2955,4239.1754378225005,532.5973779971508
59,2023-12-06,52,33,4,0.23646027896001182,4642,14177.4055402705,1766.2832225306304
60,2023-06-01,112,13,4,0.007212371209931345,1471,5841.562407800764,1308.0055309670506
61,2023-06-27,82,20,4,0.16024190884070916,4269,14339.70916463605,3371.35845592547
62,2023-06-12,180,7,2,0.20650152346396944,4631,7349.382889676715,1877.521144684683
63,2023-02-02,157,15,3,0.2246095435317465,3274,7615.885063431186,1609.5138123629545
64,2023-06-28,166,23,1,0.063942635794181,1648,1542.6225362111898,353.49482106313474
65,2023-04-11,42,14,2,0.2601532063354057,1666,2465.169516490428,253.18142487709656
66,2023-09-25,21,23,3,0.2867529441525491,1648,3526.293444109797,467.0016587970567
67,2023-11-19,42,19,2,0.07101459175346093,4236,7870.364378664679,2337.3640559625283
68,2023-03-06,141,29,1,0.2647846372551737,3551,2610.7497531068784,300.7549808810446
69,2023-06-17,113,20,2,0.029093628754828613,4269,8289.598597691274,1954.336238844703
70,2023-11-26,105,29,1,0.016712050834573555,3551,3491.6555074864295,472.1295298282238
71,2023-02-12,192,24,2,0.038767140030824807,2215,4258.261569663446,1036.2211989739212
72,2023-02-13,17,18,1,0.017322323840110797,4646,4565.520483438845,1101.1947775107296
73,2023-10-12,120,10,2,0.2535036711467328,4347,6490.039083050306,952.9961185526986
74,2023-01-12,137,41,1,0.017715043337481584,4175,4101.039694066015,631.2602442233213
75,2023-04-05,169,8,4,0.08149925740909665,4615,16955.523708228076,3915.948442409532
76,2023-10-29,129,26,2,0.031126903060756914,2991,5795.798865890552,1031.7519308214753
77,2023-09-10,130,29,2,0.08862661089412949,3551,6472.573809429892,899.1025996144705
78,2023-08-30,60,10,3,0.027167840280276145,4347,12686.704194904918,3125.1909465431904
79,2023-02-04,48,17,3,0.2004009752229042,1353,3245.5724415702316,424.6166355414797
80,2023-08-03,29,2,1,0.03999804490277254,1037,995.5220274358248,269.91462580202153
81,2023-12-03,97,6,2,0.2555537777516663,3450,5136.678933513503,1042.4063137350388
